instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
BSE_FO|1119895,1119895,BANKEX26MAY49600CE,BANKEX,0.0,2026-05-27,49600.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1118591,1118591,BANKEX26MAY49600PE,BANKEX,0.0,2026-05-27,49600.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|1118895,1118895,BANKEX26MAY49700CE,BANKEX,0.0,2026-05-27,49700.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1119742,1119742,BANKEX26MAY49700PE,BANKEX,0.0,2026-05-27,49700.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|1117593,1117593,BANKEX26MAY49800CE,BANKEX,0.0,2026-05-27,49800.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1118782,1118782,BANKEX26MAY49800PE,BANKEX,0.0,2026-05-27,49800.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|1119105,1119105,BANKEX26MAY49900CE,BANKEX,0.0,2026-05-27,49900.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1120028,1120028,BANKEX26MAY49900PE,BANKEX,0.0,2026-05-27,49900.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|1118307,1118307,BANKEX26MAY50000CE,BANKEX,0.0,2026-05-27,50000.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1119109,1119109,BANKEX26MAY50000PE,BANKEX,0.0,2026-05-27,50000.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|1121292,1121292,BANKEX26MAY50100CE,BANKEX,0.0,2026-05-27,50100.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1118081,1118081,BANKEX26MAY50100PE,BANKEX,0.0,2026-05-27,50100.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|1118622,1118622,BANKEX26MAY50200CE,BANKEX,0.0,2026-05-27,50200.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1119372,1119372,BANKEX26MAY50200PE,BANKEX,0.0,2026-05-27,50200.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|1116937,1116937,BANKEX26MAY50300CE,BANKEX,0.0,2026-05-27,50300.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1118468,1118468,BANKEX26MAY50300PE,BANKEX,20.05,2026-05-27,50300.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|1118820,1118820,BANKEX26MAY50400CE,BANKEX,0.0,2026-05-27,50400.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1121391,1121391,BANKEX26MAY50400PE,BANKEX,20.05,2026-05-27,50400.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|1117412,1117412,BANKEX26MAY50500CE,BANKEX,0.0,2026-05-27,50500.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1118703,1118703,BANKEX26MAY50500PE,BANKEX,20.05,2026-05-27,50500.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|1119027,1119027,BANKEX26MAY50600CE,BANKEX,0.0,2026-05-27,50600.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1117171,1117171,BANKEX26MAY50600PE,BANKEX,20.05,2026-05-27,50600.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|1117910,1117910,BANKEX26MAY50700CE,BANKEX,0.0,2026-05-27,50700.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1118924,1118924,BANKEX26MAY50700PE,BANKEX,20.05,2026-05-27,50700.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|1101408,1101408,BANKEX26MAY50800CE,BANKEX,0.0,2026-05-27,50800.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|889686,889686,BANKEX26MAY50800PE,BANKEX,0.0,2026-05-27,50800.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|889898,889898,BANKEX26MAY50900CE,BANKEX,0.0,2026-05-27,50900.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|1100355,1100355,BANKEX26MAY50900PE,BANKEX,0.0,2026-05-27,50900.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|886546,886546,BANKEX26MAY51000CE,BANKEX,0.0,2026-05-27,51000.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|885106,885106,BANKEX26MAY51000PE,BANKEX,0.0,2026-05-27,51000.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|886086,886086,BANKEX26MAY51100CE,BANKEX,0.0,2026-05-27,51100.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|886469,886469,BANKEX26MAY51100PE,BANKEX,0.0,2026-05-27,51100.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|886665,886665,BANKEX26MAY51200CE,BANKEX,0.0,2026-05-27,51200.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|886033,886033,BANKEX26MAY51200PE,BANKEX,0.0,2026-05-27,51200.0,0.05,30.0,OPTIDX,PE,BSE_FO
BSE_FO|886202,886202,BANKEX26MAY51300CE,BANKEX,0.0,2026-05-27,51300.0,0.05,30.0,OPTIDX,CE,BSE_FO
BSE_FO|886601,886601,BANKEX26MAY51300PE,BANKEX,0.0,2026-05-27,51300.0,0.05,30.0,OPTIDX,PE,BSE_FO
